Frequency,Velocity
15.420560747663547,625.8208955223881
16.82242990654205,579.8507462686567
16.82242990654205,522.3880597014926
17.172897196261683,476.4179104477612
17.873831775700932,444.02985074626866
18.574766355140188,407.46268656716416
18.574766355140188,367.76119402985074
19.275700934579437,341.64179104477614
19.450934579439252,325.9701492537314
19.62616822429906,318.65671641791045
20.32710280373831,307.1641791044776
21.20327102803738,297.7611940298507
21.553738317757006,290.4477611940299
21.553738317757006,290.4477611940299
21.553738317757006,282.089552238806
22.7803738317757,266.41791044776124
23.48130841121495,261.19402985074623
24.182242990654206,250.74626865671644
26.28504672897196,246.56716417910445
27.511682242990656,244.47761194029852
28.56308411214953,240.29850746268664
28.56308411214953,240.29850746268664
29.789719626168225,240.29850746268664
32.24299065420561,240.29850746268664
34.87149532710281,240.29850746268664
37.6752336448598,240.29850746268664
39.602803738317746,240.29850746268664
41.88084112149532,240.29850746268664
44.1588785046729,242.38805970149258
45.91121495327103,242.38805970149258
48.014018691588774,248.6567164179105
49.415887850467286,252.83582089552237
50.9929906542056,253.88059701492534
52.57009345794391,253.88059701492534
54.322429906542055,258.05970149253733
56.25,258.05970149253733
57.6518691588785,260.14925373134326
58.87850467289719,260.14925373134326
59.75467289719627,260.14925373134326
60.80607476635514,261.19402985074623
60.80607476635514,261.19402985074623
63.96028037383178,262.2388059701492
66.58878504672896,262.2388059701492
68.86682242990653,262.2388059701492
70.44392523364486,263.2835820895522
73.24766355140187,264.3283582089552
75.52570093457945,265.3731343283583
77.6285046728972,267.4626865671642
79.55607476635514,267.4626865671642
81.13317757009347,268.5074626865672
82.35981308411215,268.5074626865672
82.35981308411215,268.5074626865672
84.98831775700936,268.5074626865672
87.61682242990655,271.6417910447761
89.19392523364486,271.6417910447761
91.82242990654207,272.68656716417905
93.75,273.73134328358213
96.72897196261682,273.73134328358213
99.88317757009347,273.73134328358213
100.40887850467291,274.7761194029851
103.91355140186914,276.86567164179104
108.46962616822432,277.910447761194
111.79906542056077,277.910447761194
114.42757009345794,277.910447761194
115.82943925233644,277.910447761194
117.9322429906542,282.089552238806
119.85981308411215,282.089552238806
121.78738317757009,282.089552238806
125.29205607476638,285.22388059701495
127.2196261682243,285.22388059701495
129.49766355140187,285.22388059701495
131.95093457943926,285.22388059701495
133.52803738317758,284.179104477612
134.053738317757,284.179104477612
136.15654205607476,285.22388059701495
137.38317757009347,285.22388059701495
139.4859813084112,285.22388059701495
141.67640186915884,286.26865671641804
143.1658878504673,285.22388059701495
144.04205607476635,285.22388059701495
144.7429906542056,285.22388059701495
146.67056074766356,285.22388059701495
148.77336448598132,287.3134328358209
